 id  |         name          | ghn_district_code |     province      | type | ghn_support_type 
 142 | Lang Chánh            | 2811              | Thanh Hóa         |    3 |                3
 147 | Lộc Ninh              | 4305              | Bình Phước        |    3 |                3
 151 | Mường Chà             | 6205              | Điện Biên         |    3 |                3
 157 | Nậm Nhùn              |                   | Lai Châu          |    3 |                 
 161 | Ninh Hòa              | 4103              | Khánh Hòa         |    3 |                3
 167 | Phú Tân               | 5105              | An Giang          |    3 |                3
 172 | Quảng Ninh            | 3106              | Quảng Bình        |    2 |                3
 177 | Quỳnh Lưu             | 2906              | Nghệ An           |    3 |                3
 182 | Sơn Tịnh              | 3505              | Quảng Ngãi        |    2 |                2
 187 | Tân Thành             | 5206              | Bà Rịa - Vũng Tàu |    2 |                3
 192 | Châu Thành            | 5406              | Kiên Giang        |    2 |                2
 197 | Cờ Đỏ                 | 5506              | Cần Thơ           |    3 |                3
 202 | Đắk Glong             | 6307              | Đắk Nông          |    3 |                3
 207 | Đông Hưng             | 2604              | Thái Bình         |    2 |                2
 212 | Gia Viễn              | 2704              | Ninh Bình         |    2 |                3
 217 | Hải Dương             | 2101              | Hải Dương         |    1 |                3
 222 | Hoàng Su Phì          | 0508              | Hà Giang          |    3 |                3
 227 | KBang                 |                   | Gia Lai           |    3 |                 
 232 | Krông Nô              |                   | Đắk Nông          |    3 |                 
 236 | Liên Chiểu            | 0405              | Đà Nẵng           |    1 |                3
 242 | Mèo Vạc               | 0503              | Hà Giang          |    3 |                3
 247 | Na Hang               | 0903              | Tuyên Quang       |    3 |                3
 252 | Ngọc Lặc              | 2812              | Thanh Hóa         |    3 |                3
 257 | Phong Điền            |                   | Thừa Thiên - Huế  |    3 |                 
 262 | Phù Yên               | 1406              | Sơn La            |    3 |                3
 267 | Quận 4                | 0204              | TP Hồ Chí Minh    |    1 |                3
 272 | Sìn Hồ                | 0704              | Lai Châu          |    3 |                3
 277 | Tam Nông              | 1511              | Phú Thọ           |    2 |                3
 282 | Cẩm Xuyên             | 3009              | Hà Tĩnh           |    2 |                3
 287 | Chợ Gạo               | 5306              | Tiền Giang        |    2 |                2
 292 | Diễn Châu             | 2912              | Nghệ An           |    3 |                3
 297 | Đầm Dơi               | 6106              | Cà Mau            |    3 |                3
 302 | Đồng Văn              | 0502              | Hà Giang          |    3 |                3
 307 | Giồng Trôm            | 5605              | Bến Tre           |    2 |                3
 311 | Hàm Thuận Nam         | 4705              | Bình Thuận        |    3 |                3
 317 | Hồng Bàng             | 0301              | Hải Phòng         |    1 |                3
 322 | Kiến An               | 0304              | Hải Phòng         |    2 |                3
 327 | La Gi                 | 4710              | Bình Thuận        |    3 |                3
 332 | Long Xuyên            | 5101              | An Giang          |    1 |                3
 337 | Mộc Châu              | 1410              | Sơn La            |    3 |                3
 342 | Nam Trực              | 2507              | Nam Định          |    2 |                3
 347 | Nhơn Trạch            | 4809              | Đồng Nai          |    3 |                3
 352 | Phú Lương             |                   | Thái Nguyên       |    3 |                 
 355 | Phù Ninh              | 1509              | Phú Thọ           |    3 |                3
 360 | Quận 3                | 0203              | TP Hồ Chí Minh    |    1 |                3
 365 | Si Ma Cai             |                   | Lào Cai           |    3 |                 
 370 | Tam Nông              | 5005              | Đồng Tháp         |    3 |                3
 375 | Tây Hòa               | 3909              | Phú Yên           |    3 |                3
 380 | Chi Lăng              | 1009              | Lạng Sơn          |    3 |                3
 385 | Di Linh               | 4204              | Lâm Đồng          |    3 |                3
 390 | Đắk R'lấp             | 6302              | Đắk Nông          |    3 |                3
 395 | Đồng Hới              | 3101              | Quảng Bình        |    1 |                3
 400 | Giao Thủy             | 2504              | Nam Định          |    3 |                3
 405 | Hải Lăng              |                   | Quảng Trị         |    3 |                 
 410 | Hội An                | 3402              | Quảng Nam         |    1 |                3
 415 | Kiên Lương            | 5403              | Kiên Giang        |    3 |                3
 423 | Kỳ Sơn                | 2907              | Nghệ An           |    3 |                3
 425 | Long Mỹ               |                   | Hậu Giang         |    3 |                 
 430 | Móng Cái              | 1704              | Quảng Ninh        |    3 |                3
 435 | Nam Sách              | 2103              | Hải Dương         |    2 |                2
 440 | Nho Quan              | 2703              | Ninh Bình         |    3 |                3
 445 | Phú Hòa               | 3908              | Phú Yên           |    2 |                3
 450 | Phước Long            | 6005              | Bạc Liêu          |    3 |                3
 456 | Quận 11               | 0211              | TP Hồ Chí Minh    |    1 |                3
 460 | Sông Mã               | 1409              | Sơn La            |    3 |                3
 465 | Tân Châu              |                   | Tây Ninh          |    3 |                 
 470 | Cần Giờ               |                   | TP Hồ Chí Minh    |    3 |                 
 475 | Chợ Lách              | 5603              | Bến Tre           |    3 |                3
 480 | Duy Tiên              | 2402              | Hà Nam            |    2 |                3
 485 | Đầm Hà                | 1706              | Quảng Ninh        |    3 |                3
 490 | Đồng Xoài             | 4301              | Bình Phước        |    1 |                3
 495 | Gò Công               | 5302              | Tiền Giang        |    3 |                3
 500 | Hàm Yên               | 0905              | Tuyên Quang       |    3 |                3
 505 | Hồng Dân              | 6003              | Bạc Liêu          |    3 |                3
 510 | Kiến Thụy             | 0308              | Hải Phòng         |    2 |                3
 514 | Lạc Dương             | 4206              | Lâm Đồng          |    2 |                3
 520 | Long Phú              |                   | Sóc Trăng         |    3 |                 
 525 | Mộc Hóa               | 4903              | Long An           |    3 |                3
 530 | Nam Từ Liêm           | 0130              | Hà Nội            |    2 |                3
 534 | Như Xuân              | 2809              | Thanh Hóa         |    3 |                3
 540 | Phú Quốc              |                   | Kiên Giang        |    3 |                 
 545 | Quang Bình            | 0511              | Hà Giang          |    3 |                3
 550 | Quốc Oai              | 1B20              | Hà Nội            |    3 |                3
 555 | Sơn La                | 1401              | Sơn La            |    1 |                3
 560 | Tân Phú               | 0215              | TP Hồ Chí Minh    |    1 |                3
 565 | Thạch Hà              | 3008              | Hà Tĩnh           |    2 |                3
 570 | Thăng Bình            |                   | Quảng Nam         |    3 |                 
 575 | Tĩnh Gia              | 2826              | Thanh Hóa         |    3 |                3
 580 | Tuy Hòa               | 3901              | Phú Yên           |    1 |                3
 585 | Vị Thủy               | 6402              | Hậu Giang         |    2 |                3
 590 | Ý Yên                 | 2505              | Nam Định          |    3 |                3
 594 | Thạch Thất            | 1B19              | Hà Nội            |    3 |                3
 600 | Thọ Xuân              | 2815              | Thanh Hóa         |    3 |                3
 605 | Tiểu Cần              | 5804              | Trà Vinh          |    3 |                3
 610 | Tuy Đức               |                   | Đắk Nông          |    3 |                 
 615 | Vị Thanh              | 6401              | Hậu Giang         |    1 |                3
 620 | Xín Mần               | 0509              | Hà Giang          |    3 |                3
 625 | Thạch An              | 0610              | Cao Bằng          |    3 |                3
 630 | Tháp Mười             | 5009              | Đồng Tháp         |    3 |                3
 635 | Tiên Phước            |                   | Quảng Nam         |    3 |                 
 640 | Tu Mơ Rông            |                   | Kon Tum           |    3 |                 
 645 | Vân Đồn               | 1713              | Quảng Ninh        |    3 |                3
 650 | Vụ Bản                | 2506              | Nam Định          |    2 |                3
 655 | Thạch Thành           | 2813              | Thanh Hóa         |    3 |                3
 660 | Thiệu Hóa             | 2817              | Thanh Hóa         |    2 |                3
 664 | Tiên Yên              | 1708              | Quảng Ninh        |    3 |                3
 670 | Tuy An                | 3904              | Phú Yên           |    3 |                3
 675 | Vân Hồ                |                   | Sơn La            |    3 |                 
 680 | Vũng Liêm             |                   | Vĩnh Long         |    3 |                 
 685 | Thái Bình             | 2601              | Thái Bình         |    1 |                3
 119 | Gia Nghĩa             | 6301              | Đắk Nông          |    1 |                3
 124 | Hải Châu              | 0401              | Đà Nẵng           |    1 |                3
 129 | Hoàng Sa              |                   | Đà Nẵng           |    3 |                 
 134 | Ia Pa                 | 3814              | Gia Lai           |    3 |                3
 139 | Krông Năng            | 4004              | Đắk Lắk           |    3 |                3
 144 | Lê Chân               | 0302              | Hải Phòng         |    1 |                3
 148 | Mang Thít             |                   | Vĩnh Long         |    3 |                 
 154 | Mỹ Tho                | 5301              | Tiền Giang        |    1 |                3
 159 | Ngọc Hiển             |                   | Cà Mau            |    3 |                 
 164 | Phan Thiết            | 4701              | Bình Thuận        |    1 |                3
 169 | Phủ Lý                | 2401              | Hà Nam            |    1 |                3
 173 | Quận 5                | 0205              | TP Hồ Chí Minh    |    1 |                3
 179 | Sóc Sơn               | 1A14              | Hà Nội            |    3 |                3
 184 | Tánh Linh             |                   | Bình Thuận        |    3 |                 
 189 | Cẩm Thủy              | 2814              | Thanh Hóa         |    3 |                3
 194 | Chợ Đồn               | 1102              | Bắc Kạn           |    3 |                3
 199 | Diên Khánh            | 4104              | Khánh Hòa         |    2 |                2
 204 | Điện Bàn              | 3404              | Quảng Nam         |    2 |                2
 209 | Đơn Dương             | 4205              | Lâm Đồng          |    3 |                3
 214 | Gò Dầu                | 4608              | Tây Ninh          |    3 |                3
 219 | Hiệp Hòa              | 1807              | Bắc Giang         |    3 |                3
 224 | Hồng Ngự              | 5004              | Đồng Tháp         |    3 |                3
 229 | Kiến Tường            | 4915              | Long An           |    3 |                3
 234 | Lạc Thủy              |                   | Hòa Bình          |    3 |                 
 239 | Lộc Bình              | 1008              | Lạng Sơn          |    2 |                3
 243 | Mù Cang Chải          | 1305              | Yên Bái           |    3 |                3
 249 | Năm Căn               | 6108              | Cà Mau            |    3 |                3
 254 | Ninh Bình             | 2701              | Ninh Bình         |    1 |                3
 259 | Phú Ninh              | 3417              | Quảng Nam         |    2 |                3
 264 | Quan Hóa              | 2804              | Thanh Hóa         |    3 |                3
 269 | Quế Sơn               | 3406              | Quảng Nam         |    3 |                3
 274 | Sơn Dương             | 0907              | Tuyên Quang       |    3 |                3
